run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	experiment_alias	fastq_ftp	submitted_ftp	submitted_aspera	sra_ftp	sample_title
ERR5909905	SAMEA8725588	ERX5551032	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909905/ERR5909905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909905/ERR5909905_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909905/22530_1#16.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909905/22530_1#16.cram		4472STDY6862116
ERR5909906	SAMEA8725768	ERX5551033	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909906/ERR5909906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909906/ERR5909906_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909906/22530_1#17.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909906/22530_1#17.cram		4472STDY6862297
ERR5909907	SAMEA8725400	ERX5551034	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909907/ERR5909907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909907/ERR5909907_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909907/22530_1#18.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909907/22530_1#18.cram		4472STDY6861929
ERR5909908	SAMEA8725401	ERX5551035	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909908/ERR5909908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909908/ERR5909908_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909908/22530_1#19.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909908/22530_1#19.cram		4472STDY6861930
ERR5909909	SAMEA8725402	ERX5551036	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909909/ERR5909909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909909/ERR5909909_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909909/22530_1#20.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909909/22530_1#20.cram		4472STDY6861931
ERR5909914	SAMEA8725772	ERX5551041	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909914/ERR5909914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909914/ERR5909914_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909914/22530_1#25.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909914/22530_1#25.cram		4472STDY6862301
ERR5909917	SAMEA8725590	ERX5551044	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909917/ERR5909917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909917/ERR5909917_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909917/22530_1#28.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909917/22530_1#28.cram		4472STDY6862119
ERR5909918	SAMEA8725591	ERX5551045	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909918/ERR5909918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909918/ERR5909918_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909918/22530_1#29.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909918/22530_1#29.cram		4472STDY6862120
ERR5909920	SAMEA8725594	ERX5551047	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909920/ERR5909920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909920/ERR5909920_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909920/22530_1#31.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909920/22530_1#31.cram		4472STDY6862122
ERR5909921	SAMEA8725593	ERX5551048	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909921/ERR5909921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909921/ERR5909921_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909921/22530_1#32.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909921/22530_1#32.cram		4472STDY6862123
ERR5909922	SAMEA8725407	ERX5551049	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909922/ERR5909922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909922/ERR5909922_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909922/22530_1#33.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909922/22530_1#33.cram		4472STDY6861936
ERR5909923	SAMEA8725408	ERX5551050	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#34	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/003/ERR5909923/ERR5909923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/003/ERR5909923/ERR5909923_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909923/22530_1#34.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909923/22530_1#34.cram.crai	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909923/22530_1#34.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909923/22530_1#34.cram.crai		4472STDY6861937
ERR5909924	SAMEA8725410	ERX5551051	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#35	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909924/ERR5909924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909924/ERR5909924_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909924/22530_1#35.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909924/22530_1#35.cram		4472STDY6861938
ERR5909926	SAMEA8725411	ERX5551053	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#37	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909926/ERR5909926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909926/ERR5909926_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909926/22530_1#37.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909926/22530_1#37.cram		4472STDY6861940
ERR5909927	SAMEA8725412	ERX5551054	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#38	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909927/ERR5909927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909927/ERR5909927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909927/22530_1#38.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909927/22530_1#38.cram		4472STDY6861941
ERR5909928	SAMEA8725416	ERX5551055	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909928/ERR5909928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909928/ERR5909928_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909928/22530_1#39.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909928/22530_1#39.cram		4472STDY6861942
ERR5909929	SAMEA8725413	ERX5551056	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#40	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909929/ERR5909929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909929/ERR5909929_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909929/22530_1#40.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909929/22530_1#40.cram		4472STDY6861943
ERR5909930	SAMEA8725595	ERX5551057	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#41	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909930/ERR5909930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909930/ERR5909930_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909930/22530_1#41.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909930/22530_1#41.cram.crai	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909930/22530_1#41.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909930/22530_1#41.cram.crai		4472STDY6862124
ERR5909931	SAMEA8725596	ERX5551058	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#42	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909931/ERR5909931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909931/ERR5909931_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909931/22530_1#42.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909931/22530_1#42.cram		4472STDY6862125
ERR5909932	SAMEA8725597	ERX5551059	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#43	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909932/ERR5909932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909932/ERR5909932_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909932/22530_1#43.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909932/22530_1#43.cram		4472STDY6862126
ERR5909935	SAMEA8725600	ERX5551062	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#46	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909935/ERR5909935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909935/ERR5909935_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909935/22530_1#46.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909935/22530_1#46.cram		4472STDY6862129
ERR5909937	SAMEA8725602	ERX5551064	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#48	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909937/ERR5909937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909937/ERR5909937_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909937/22530_1#48.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909937/22530_1#48.cram		4472STDY6862131
ERR5909939	SAMEA8725420	ERX5551066	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#50	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909939/ERR5909939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909939/ERR5909939_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909939/22530_1#50.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909939/22530_1#50.cram		4472STDY6861945
ERR5909940	SAMEA8725421	ERX5551067	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#51	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909940/ERR5909940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909940/ERR5909940_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909940/22530_1#51.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909940/22530_1#51.cram		4472STDY6861946
ERR5909941	SAMEA8725422	ERX5551068	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#52	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909941/ERR5909941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909941/ERR5909941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909941/22530_1#52.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909941/22530_1#52.cram		4472STDY6861947
ERR5909942	SAMEA8725423	ERX5551069	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#53	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909942/ERR5909942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909942/ERR5909942_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909942/22530_1#53.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909942/22530_1#53.cram		4472STDY6861948
ERR5909943	SAMEA8725424	ERX5551070	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#54	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/003/ERR5909943/ERR5909943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/003/ERR5909943/ERR5909943_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909943/22530_1#54.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909943/22530_1#54.cram		4472STDY6861949
ERR5909944	SAMEA8725425	ERX5551071	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#55	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909944/ERR5909944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909944/ERR5909944_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909944/22530_1#55.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909944/22530_1#55.cram		4472STDY6861950
ERR5909946	SAMEA8725605	ERX5551073	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#57	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909946/ERR5909946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909946/ERR5909946_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909946/22530_1#57.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909946/22530_1#57.cram		4472STDY6862132
ERR5909948	SAMEA8725604	ERX5551075	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#59	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909948/ERR5909948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909948/ERR5909948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909948/22530_1#59.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909948/22530_1#59.cram		4472STDY6862134
ERR5909950	SAMEA8725607	ERX5551077	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#61	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909950/ERR5909950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909950/ERR5909950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909950/22530_1#61.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909950/22530_1#61.cram		4472STDY6862136
ERR5909951	SAMEA8725608	ERX5551078	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#62	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909951/ERR5909951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909951/ERR5909951_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909951/22530_1#62.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909951/22530_1#62.cram		4472STDY6862137
ERR5909952	SAMEA8725610	ERX5551079	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#63	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909952/ERR5909952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909952/ERR5909952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909952/22530_1#63.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909952/22530_1#63.cram		4472STDY6862138
ERR5909956	SAMEA8725429	ERX5551083	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#67	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909956/ERR5909956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909956/ERR5909956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909956/22530_1#67.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909956/22530_1#67.cram		4472STDY6861954
ERR5909958	SAMEA8725433	ERX5551085	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#69	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909958/ERR5909958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909958/ERR5909958_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909958/22530_1#69.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909958/22530_1#69.cram		4472STDY6861956
ERR5909964	SAMEA8725613	ERX5551091	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909964/ERR5909964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/004/ERR5909964/ERR5909964_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909964/22530_1#75.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909964/22530_1#75.cram		4472STDY6862142
ERR5909965	SAMEA8725614	ERX5551092	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#76	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909965/ERR5909965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909965/ERR5909965_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909965/22530_1#76.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909965/22530_1#76.cram		4472STDY6862143
ERR5909966	SAMEA8725615	ERX5551093	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#77	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909966/ERR5909966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909966/ERR5909966_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909966/22530_1#77.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909966/22530_1#77.cram		4472STDY6862144
ERR5909970	SAMEA8725435	ERX5551097	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#81	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909970/ERR5909970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909970/ERR5909970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909970/22530_1#81.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909970/22530_1#81.cram		4472STDY6861960
ERR5909972	SAMEA8725437	ERX5551099	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909972/ERR5909972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909972/ERR5909972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909972/22530_1#83.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909972/22530_1#83.cram		4472STDY6861962
