# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/reference_genome/PlasmoDB-62_Pyoeliiyoelii17X.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/counts/2018_vs_2023_final_counts_output.txt" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep1.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep2.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep3.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep1.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep2.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep3.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep1.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep2.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep3.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep1.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep2.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep3.bam.sort.bam
PY17X_0705800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	406189;406465;406680;406915;407196;407362	406311;406563;406787;407010;407254;407434	-;-;-;-;-;-	558	229	133	186	20751	20793	24794
PY17X_0705900	Py17X_07_v3;Py17X_07_v3	408163;408411	408232;413089	-;-	4749	54115	49437	44106	128	154	100
PY17X_0706000	Py17X_07_v3	415849	418869	+	3021	219	190	208	21	20	19
PY17X_0706100	Py17X_07_v3	419194	422568	-	3375	1209	1217	1328	821	713	839
PY17X_0706200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	423310;423597;423751;423911;424203;424472;424640;424790;425011;425276;425448;425642;425865;426279;426562;426894	423402;423640;423820;424089;424310;424560;424674;424864;425147;425342;425506;425722;426013;426451;426720;427127	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1752	2014	1925	2493	263	192	281
PY17X_0706300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	428186;428367;428550;428758;429086	428200;428413;428595;428985;429511	-;-;-;-;-	762	1358	1237	1957	4173	4763	5048
PY17X_0706400	Py17X_07_v3;Py17X_07_v3	430595;431433	431290;431780	-;-	1044	848	692	871	110	147	140
PY17X_0706500	Py17X_07_v3	432748	434421	+	1674	876	744	757	41	41	35
PY17X_0706600	Py17X_07_v3	435312	437546	+	2235	1309	1977	2625	57	82	47
PY17X_0706700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	437985;438308;441628	438215;441376;441654	-;-;-	3327	1996	2115	2027	12849	11993	15219
PY17X_0706800	Py17X_07_v3	442828	444048	-	1221	257	216	455	347	345	380
PY17X_0706900	Py17X_07_v3	445060	447513	+	2454	13	15	8	98	80	58
PY17X_0707000	Py17X_07_v3	448788	449747	-	960	13178	10651	19392	361	240	429
PY17X_0707100	Py17X_07_v3	451103	453049	-	1947	230	392	498	130	133	112
PY17X_0707200	Py17X_07_v3;Py17X_07_v3	454401;454804	454448;454956	+;+	201	3739	3408	5068	899	992	1042
PY17X_0707300	Py17X_07_v3	455748	457034	+	1287	171	141	233	6	30	14
PY17X_0707400	Py17X_07_v3	458169	459647	+	1479	794566	636360	803618	3988	4167	4923
PY17X_0707500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	460100;460443;460854;461002;461695	460200;460730;460891;461594;462180	-;-;-;-;-	1506	1224	957	1538	20412	24656	24579
PY17X_0707600	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	463070;463333;464006;464566	463231;463844;464420;467685	-;-;-;-	4209	5047	3612	5098	1478	1548	1662
PY17X_0707700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	471547;471715;472357	471606;472164;472713	+;+;+	867	7276	5319	6830	5086	5913	6630
PY17X_0707800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	474877;475303;475593;475947;476200	475075;475412;475757;476103;476255	+;+;+;+;+	687	2713	1990	3344	268	316	263
PY17X_0707900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	476997;477362;477703;478277	477164;477486;477984;481403	+;+;+;+	3702	671	879	1238	845	1151	1070
PY17X_0708000	Py17X_07_v3	483266	486910	+	3645	254	127	183	2152	2118	2380
PY17X_0708100	Py17X_07_v3	487425	488396	-	972	783	686	878	65	47	57
PY17X_0708200	Py17X_07_v3	490708	493401	+	2694	42	39	20	21	31	14
PY17X_0708300	Py17X_07_v3;Py17X_07_v3	493822;495922	495801;496221	-;-	2280	994	648	649	1923	2028	2183
PY17X_0708400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	498907;499087;499374;499681;499864;500028	498970;499239;499564;499746;499926;500075	+;+;+;+;+;+	585	577	412	599	58081	54870	65767
PY17X_0708500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	500153;500361;500549;500838;501470;501789;502464	500245;500436;500720;501311;501634;502317;502532	-;-;-;-;-;-;-	1578	596	527	585	64849	70670	76119
PY17X_0708600	Py17X_07_v3;Py17X_07_v3	504148;504436	504217;504617	+;+	252	594	537	578	2715	3019	3833
PY17X_0708700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	505018;505352;505880	505165;505755;509284	-;-;-	3957	71	87	98	9573	11250	12437
PY17X_0708800	Py17X_07_v3	509894	511048	+	1155	63	90	120	66	98	96
PY17X_0708900	Py17X_07_v3	511589	512380	+	792	51	57	93	10	10	19
PY17X_0709000	Py17X_07_v3;Py17X_07_v3	512888;513127	513024;514807	-;-	1818	2136	1804	1864	354	365	396
PY17X_0709100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	515443;515696;515945;516115	515514;515781;516002;516222	+;+;+;+	324	5209	4938	5596	211	221	301
PY17X_0709200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	516744;516956;517238	516822;517069;517284	-;-;-	240	30670	26782	34833	781	955	979
PY17X_0709300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	519079;519341;519620	519189;519472;519793	-;-;-	417	5847	4685	6540	4500	4214	5853
PY17X_0709400	Py17X_07_v3	521819	523588	-	1770	76	43	125	11	18	10
PY17X_0709500	Py17X_07_v3	524536	525234	+	699	43	26	32	20	12	26
PY17X_0709600	Py17X_07_v3;Py17X_07_v3	526378;527174	526656;527248	-;-	354	1019	894	1585	5976	6761	7803
PY17X_0709700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	530543;531917;532351	531778;532210;533226	+;+;+	2406	9633	8177	9550	3222	4189	3613
PY17X_0709800	Py17X_07_v3	533452	534117	-	666	12283	11169	11303	1477	2890	1922
PY17X_0709900	Py17X_07_v3;Py17X_07_v3	536036;536763	536577;538626	-;-	2406	5024	5909	5348	3344	3458	3530
PY17X_0710000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	541837;542067;542373;542571;542796	541917;542191;542443;542673;543951	-;-;-;-;-	1536	406	273	557	175	202	249
PY17X_0710100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	547268;547917;549763	547820;549611;550817	+;+;+	3303	1969	1376	1889	462	592	472
PY17X_0710200	Py17X_07_v3	551329	553539	+	2211	734	581	789	19343	20734	21527
PY17X_0710300	Py17X_07_v3;Py17X_07_v3	554106;557221	557058;557384	-;-	3117	13265	10321	15478	16302	17454	18426
PY17X_0710400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	558636;559237;559799	559116;559651;560267	-;-;-	1365	1280	1249	1734	6293	6049	7129
PY17X_0710500	Py17X_07_v3	561424	563574	-	2151	122	142	282	2593	2772	2780
PY17X_0710600	Py17X_07_v3;Py17X_07_v3	564942;565319	565122;566574	-;-	1437	2459	2306	2762	788	848	864
PY17X_0710700	Py17X_07_v3	568552	570285	-	1734	856	943	1621	13933	14497	14788
PY17X_0710800	Py17X_07_v3	573349	575070	+	1722	626	613	695	17	55	35
PY17X_0710900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	576375;577237;577642;577911	577083;577401;577723;578037	+;+;+;+	1083	2105	1705	2827	386	399	394
PY17X_0711000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	579543;579789;579916;580168;585303	579691;579821;579991;585153;585536	+;+;+;+;+	5478	3039	2340	2974	457	442	425
PY17X_0711100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	586619;586827;587031;587325	586643;586912;587120;587399	+;+;+;+	276	130	103	154	393	688	577
