# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/reference/PlasmoDB-62_PbergheiANKA.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/featurecounts/pb_2017_final_counts_output.txt" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_1_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_2_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_3_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_1_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_2_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_3_trimmed.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_1_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_2_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_3_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_1_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_2_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_3_trimmed.bam.sort.bam
PBANKA_1004500	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	246898;247100;247357;247608;254428;254962;255065;255227	246926;247190;247470;254054;254889;254987;255099;255237	-;-;-;-;-;-;-;-	7215	5892	5557	6410	2804	2931	3780
PBANKA_1004600	PbANKA_10_v3	255975	256907	-	933	639	681	627	221	351	102
PBANKA_1004700	PbANKA_10_v3;PbANKA_10_v3	257569;257801	257595;258688	+;+	915	607	540	601	484	222	201
PBANKA_1004800	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	259035;259172;259365;259522;259913	259084;259223;259439;259700;260126	-;-;-;-;-	570	1258	1226	1028	2352	2531	1959
PBANKA_1004900	PbANKA_10_v3	261665	262777	+	1113	481	439	360	1701	1819	1617
PBANKA_1005000	PbANKA_10_v3	263806	264135	-	330	314	295	298	127	171	107
PBANKA_1005100	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	265763;266055;266412	265817;266258;267295	+;+;+	1143	742	675	620	863	844	554
PBANKA_1005200	PbANKA_10_v3	268937	271852	+	2916	91	61	60	572	387	619
PBANKA_1005300	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	272882;273045;273243;273526;273782;278089	272941;273145;273369;273667;277898;278149	-;-;-;-;-;-	4608	3164	2538	2798	6485	4850	4529
PBANKA_1005400	PbANKA_10_v3	280212	285029	+	4818	1370	1511	1640	1680	1662	1272
PBANKA_1005500	PbANKA_10_v3	285740	287614	-	1875	867	756	748	795	851	357
PBANKA_1005600	PbANKA_10_v3	288580	289095	-	516	5028	4674	5007	418	517	423
PBANKA_1005700	PbANKA_10_v3	291639	294860	+	3222	620	497	483	1772	1683	1543
PBANKA_1005800	PbANKA_10_v3	295977	297404	+	1428	444	432	558	10199	10781	13065
PBANKA_1005900	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	298142;298667;299025;299466;299782	298536;298939;299095;299505;299803	-;-;-;-;-	801	317	346	141	1926	2200	1499
PBANKA_1006000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	300840;301067;301425	300917;301289;302701	-;-;-	1578	267	229	67	902	843	382
PBANKA_1006100	PbANKA_10_v3	303953	305392	-	1440	884	595	687	20914	20397	23821
PBANKA_1006200	PbANKA_10_v3	308463	311462	+	3000	816	577	783	7732	4459	6254
PBANKA_1006300	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	312525;313039;313656;314240;314535;314884;315484;315759	312895;313435;314083;314430;314743;315323;315579;316059	-;-;-;-;-;-;-;-	2433	595	532	628	2884	2268	2681
PBANKA_1006400	PbANKA_10_v3	317417	318391	-	975	97	63	83	318	294	527
PBANKA_1006500	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	319611;320165;321129;321823;322022	320058;320987;321682;321916;322157	+;+;+;+;+	2055	247	216	128	786	590	462
PBANKA_1006600	PbANKA_10_v3	322717	329223	-	6507	1313	1017	1104	634	542	234
PBANKA_1006700	PbANKA_10_v3;PbANKA_10_v3	330066;331802	331613;331804	-;-	1551	1285	1045	928	2156	2200	1764
PBANKA_1006800	PbANKA_10_v3	332806	334221	+	1416	514	527	337	1283	1165	928
PBANKA_1006900	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	334726;334976;335269	334800;335059;337800	-;-;-	2691	795	638	798	799	674	368
PBANKA_1007000	PbANKA_10_v3	339190	341058	+	1869	1608	1261	927	2080	1997	907
PBANKA_1007100	PbANKA_10_v3;PbANKA_10_v3	341800;342962	342833;343178	-;-	1251	802	542	575	1215	1134	571
PBANKA_1007200	PbANKA_10_v3	344589	348101	-	3513	4217	3876	4342	8670	7881	8148
PBANKA_1007300	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	349232;349497;349871;350056	349318;349765;349970;350184	+;+;+;+	585	2774	2338	2059	2748	2779	2967
PBANKA_1007400	PbANKA_10_v3	351710	353284	+	1575	1234	941	909	4968	3988	5053
PBANKA_1007500	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	353552;354399;354738;354950;355174;355297;355581	354285;354570;354841;355037;355204;355362;355639	-;-;-;-;-;-;-	1254	1912	1464	1636	8606	6946	9738
PBANKA_1007600	PbANKA_10_v3;PbANKA_10_v3	356610;358632	358473;358735	-;-	1968	1164	1099	1332	4252	2964	3172
PBANKA_1007641	PbANKA_10_v3	360094	360175	+	82	1	0	1	7	3	12
PBANKA_1007661	PbANKA_10_v3	360731	360803	-	73	3	0	0	16	4	8
PBANKA_1007700	PbANKA_10_v3;PbANKA_10_v3	361745;361933	361784;364742	-;-	2850	3060	2676	3039	14179	11794	16211
PBANKA_1007800	PbANKA_10_v3	367145	368125	+	981	505	485	386	1092	949	789
PBANKA_1007900	PbANKA_10_v3	368874	369509	-	636	23281	24254	24272	546	758	388
PBANKA_1008000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	371839;372135;373147	371890;372999;373168	+;+;+	939	746	690	570	6494	5205	7345
PBANKA_1008100	PbANKA_10_v3	373582	375948	-	2367	1579	1299	1528	4028	3820	3513
PBANKA_1008200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	377167;377489;377684;378115;378653	377198;377567;377858;378545;380506	+;+;+;+;+	2571	1073	842	754	3239	2742	2772
PBANKA_1008300	PbANKA_10_v3	381201	382436	-	1236	16982	15807	15460	1308	1331	1069
PBANKA_1008400	PbANKA_10_v3;PbANKA_10_v3	383092;383376	383152;386323	-;-	3009	554	373	399	948	700	546
PBANKA_1008500	PbANKA_10_v3	387704	390463	-	2760	4709	4638	2777	15558	15727	12095
PBANKA_1008600	PbANKA_10_v3	394229	399484	+	5256	959	783	1040	2674	2752	1945
PBANKA_1008700	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	399521;399710;399944	399553;399826;404761	-;-;-	4968	1857	1579	2100	3283	2876	2586
PBANKA_1008800	PbANKA_10_v3	406372	408132	-	1761	4531	3661	4293	32143	27029	37354
PBANKA_1008900	PbANKA_10_v3	410491	411435	+	945	3462	3439	3498	2814	2744	2981
PBANKA_1009000	PbANKA_10_v3	411718	413241	-	1524	1342	1369	1357	1045	922	773
PBANKA_1009100	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	416230;417407;417788;418135;418363;418537;418844;419033;419264	417118;417525;417963;418244;418395;418698;418941;419146;420019	+;+;+;+;+;+;+;+;+	2457	11590	9617	11518	5656	4564	4348
PBANKA_1009200	PbANKA_10_v3	422856	427697	+	4842	27298	27525	29479	2212	2584	2538
PBANKA_1009300	PbANKA_10_v3	428420	429124	-	705	1075	1086	898	1544	2051	1162
PBANKA_1009400	PbANKA_10_v3	430822	431394	+	573	599	517	450	1277	1184	974
PBANKA_1009500	PbANKA_10_v3	433633	442521	+	8889	19544	18385	19102	18091	19632	20385
PBANKA_1009600	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	443488;444395;444701;444946	444273;444576;444776;445035	-;-;-;-	1134	44002	40861	43296	2147	2333	1963
PBANKA_1009700	PbANKA_10_v3	447652	448698	+	1047	159	122	129	5272	4606	7596
