# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/reference_genome/PlasmoDB-62_Pyoeliiyoelii17X.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/nc_removed_data/Count/output.txt" "WT_female_R1.bam.sort.bam" "WT_female_R2.bam.sort.bam" "WT_female_R3.bam.sort.bam" "WT_male_R1.bam.sort.bam" "WT_male_R2.bam.sort.bam" "WT_male_R3.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	WT_female_R1.bam.sort.bam	WT_female_R2.bam.sort.bam	WT_female_R3.bam.sort.bam	WT_male_R1.bam.sort.bam	WT_male_R2.bam.sort.bam	WT_male_R3.bam.sort.bam
PY17X_0706300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	428186;428367;428550;428758;429086	428200;428413;428595;428985;429511	-;-;-;-;-	762	1357	1236	1956	4166	4795	5034
PY17X_0706400	Py17X_07_v3;Py17X_07_v3	430595;431433	431290;431780	-;-	1044	847	690	869	110	147	140
PY17X_0706500	Py17X_07_v3	432748	434421	+	1674	871	743	756	41	41	35
PY17X_0706600	Py17X_07_v3	435312	437546	+	2235	1304	1974	2621	56	82	47
PY17X_0706700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	437985;438308;441628	438215;441376;441654	-;-;-	3327	1994	2113	2026	12806	11921	15158
PY17X_0706800	Py17X_07_v3	442828	444048	-	1221	257	214	455	347	345	380
PY17X_0706900	Py17X_07_v3	445060	447513	+	2454	13	15	8	98	80	58
PY17X_0707000	Py17X_07_v3	448788	449747	-	960	13171	10648	19384	361	240	427
PY17X_0707100	Py17X_07_v3	451103	453049	-	1947	206	362	448	53	84	54
PY17X_0707200	Py17X_07_v3;Py17X_07_v3	454401;454804	454448;454956	+;+	201	2723	2314	3671	719	683	879
PY17X_0707300	Py17X_07_v3	455748	457034	+	1287	171	141	233	6	30	14
PY17X_0707400	Py17X_07_v3	458169	459647	+	1479	794155	636039	803249	3984	4159	4920
PY17X_0707500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	460100;460443;460854;461002;461695	460200;460730;460891;461594;462180	-;-;-;-;-	1506	1221	954	1524	20305	24677	24471
PY17X_0707600	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	463070;463333;464006;464566	463231;463844;464420;467685	-;-;-;-	4209	5023	3584	5075	1468	1537	1647
PY17X_0707700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	471547;471715;472357	471606;472164;472713	+;+;+	867	6850	4951	6468	4715	5472	6084
PY17X_0707800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	474877;475303;475593;475947;476200	475075;475412;475757;476103;476255	+;+;+;+;+	687	2666	1954	3300	266	313	255
PY17X_0707900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	476997;477362;477703;478277	477164;477486;477984;481403	+;+;+;+	3702	669	873	1235	838	1125	1058
PY17X_0708000	Py17X_07_v3	483266	486910	+	3645	252	127	183	2136	2109	2369
PY17X_0708100	Py17X_07_v3	487425	488396	-	972	781	686	876	65	47	57
PY17X_0708200	Py17X_07_v3	490708	493401	+	2694	38	39	20	21	31	14
PY17X_0708300	Py17X_07_v3;Py17X_07_v3	493822;495922	495801;496221	-;-	2280	993	648	649	1921	2027	2181
PY17X_0708400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	498907;499087;499374;499681;499864;500028	498970;499239;499564;499746;499926;500075	+;+;+;+;+;+	585	545	387	563	56423	53033	64346
PY17X_0708500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	500153;500361;500549;500838;501470;501789;502464	500245;500436;500720;501311;501634;502317;502532	-;-;-;-;-;-;-	1578	591	520	583	64705	70503	75969
PY17X_0708600	Py17X_07_v3;Py17X_07_v3	504148;504436	504217;504617	+;+	252	594	536	578	2709	3006	3823
PY17X_0708700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	505018;505352;505880	505165;505755;509284	-;-;-	3957	71	87	96	9564	11239	12405
PY17X_0708800	Py17X_07_v3	509894	511048	+	1155	62	90	120	66	95	96
PY17X_0708900	Py17X_07_v3	511589	512380	+	792	51	57	93	8	10	19
PY17X_0709000	Py17X_07_v3;Py17X_07_v3	512888;513127	513024;514807	-;-	1818	2133	1804	1862	352	363	396
PY17X_0709100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	515443;515696;515945;516115	515514;515781;516002;516222	+;+;+;+	324	5177	4913	5565	199	216	296
PY17X_0709200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	516744;516956;517238	516822;517069;517284	-;-;-	240	30657	26777	34824	779	952	973
PY17X_0709300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	519079;519341;519620	519189;519472;519793	-;-;-	417	5819	4655	6518	4478	4174	5819
PY17X_0709400	Py17X_07_v3	521819	523588	-	1770	76	43	125	11	15	10
PY17X_0709500	Py17X_07_v3	524536	525234	+	699	43	26	32	20	12	26
PY17X_0709600	Py17X_07_v3;Py17X_07_v3	526378;527174	526656;527248	-;-	354	1013	884	1581	5873	6686	7719
PY17X_0709700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	530543;531917;532351	531778;532210;533226	+;+;+	2406	9522	8091	9429	3106	4050	3514
PY17X_0709800	Py17X_07_v3	533452	534117	-	666	11646	10603	10708	1390	2726	1825
PY17X_0709900	Py17X_07_v3;Py17X_07_v3	536036;536763	536577;538626	-;-	2406	5022	5905	5340	3338	3455	3524
PY17X_0710000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	541837;542067;542373;542571;542796	541917;542191;542443;542673;543951	-;-;-;-;-	1536	406	273	555	174	200	248
PY17X_0710100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	547268;547917;549763	547820;549611;550817	+;+;+	3303	1947	1353	1868	461	582	471
PY17X_0710200	Py17X_07_v3	551329	553539	+	2211	734	581	788	19313	20693	21493
PY17X_0710300	Py17X_07_v3;Py17X_07_v3	554106;557221	557058;557384	-;-	3117	13250	10313	15460	16286	17422	18395
PY17X_0710400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	558636;559237;559799	559116;559651;560267	-;-;-	1365	1270	1236	1729	6254	5995	7104
PY17X_0710500	Py17X_07_v3	561424	563574	-	2151	117	137	277	2473	2659	2688
PY17X_0710600	Py17X_07_v3;Py17X_07_v3	564942;565319	565122;566574	-;-	1437	2458	2304	2756	787	845	863
PY17X_0710700	Py17X_07_v3	568552	570285	-	1734	854	938	1619	13885	14455	14754
PY17X_0710800	Py17X_07_v3	573349	575070	+	1722	624	601	691	17	52	35
PY17X_0710900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	576375;577237;577642;577911	577083;577401;577723;578037	+;+;+;+	1083	2078	1663	2795	384	392	393
PY17X_0711000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	579543;579789;579916;580168;585303	579691;579821;579991;585153;585536	+;+;+;+;+	5478	2983	2263	2910	449	437	419
PY17X_0711100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	586619;586827;587031;587325	586643;586912;587120;587399	+;+;+;+	276	130	102	154	373	655	564
PY17X_0711200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	588182;588408;588578;588760;589258;589458;589620;589835;590028;590298;590481;590708;590934;591228;592569;593637;594212	588229;588462;588670;589089;589337;589529;589665;589902;590118;590378;590615;590831;591099;592460;593469;594052;594376	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4104	70	29	63	20823	22316	22298
PY17X_0711300	Py17X_07_v3	595348	596985	+	1638	41	64	57	330	213	371
PY17X_0711400	Py17X_07_v3;Py17X_07_v3	599036;599642	599475;600197	+;+	996	129459	108947	150093	1794	2206	2045
PY17X_0711500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	600894;601139;601417;601596;601877;602069;602417;602640;602811;602956;603131;603324;603486	600998;601193;601510;601715;601943;602290;602534;602698;602861;603009;603166;603383;603584	-;-;-;-;-;-;-;-;-;-;-;-;-	1140	4028	3705	4626	321	260	342
PY17X_0711600	Py17X_07_v3	604797	606842	-	2046	462	528	713	64	60	53
PY17X_0711700	Py17X_07_v3	607775	610618	-	2844	217	199	337	545	959	1004
PY17X_0711800	Py17X_07_v3	611904	613961	-	2058	1593	1559	1505	119	112	104
PY17X_0711900	Py17X_07_v3;Py17X_07_v3	614975;615173	615018;616031	-;-	903	231	262	386	18	17	25
PY17X_0712000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	617271;617757;618504;618694;620705	617623;618379;618591;620622;621344	+;+;+;+;+	3633	2353	1733	2178	6077	6572	6379
PY17X_0712100	Py17X_07_v3	622093	624141	-	2049	77890	40805	62990	35042	37073	42277
PY17X_0712200	Py17X_07_v3	627028	628062	+	1035	2069	2828	3432	50	49	56
PY17X_0712300	Py17X_07_v3;Py17X_07_v3	630377;633383	633253;633466	+;+	2961	2633	2101	2593	57624	61104	56769
