# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/reference_genome/PlasmoDB-62_Pyoeliiyoelii17X.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/read_counts/Rbpm1_KO_counts_output.txt" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep1.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep2.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep3.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep1.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep2.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep3.bam.sort.bam
PY17X_0700023	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	38130;38445;38788;39021;39211;39575	38308;38691;38857;39130;39444;39598	+;+;+;+;+;+	864	0	0	0
PY17X_0700025	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	40540;40716;41673	40626;41561;41687	-;-;-	948	4	0	0
PY17X_0700027	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	43992;44165;45086	44078;44977;45100	-;-;-	915	0	0	4
PY17X_0700029	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	47696;47850;48748	47761;48611;48762	-;-;-	843	0	0	0
PY17X_0700031	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	51288;51442;52437	51353;52311;52454	-;-;-	954	0	0	0
PY17X_0700033	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	54850;55041;55978	54936;55856;55992	-;-;-	918	2	20	24
PY17X_0700035	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	58513;58702;59582	58611;59445;59596	-;-;-	858	10	10	8
PY17X_0700037	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	61924;62080;63078	61989;62952;63095	-;-;-	957	0	0	0
PY17X_0700039	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	65441;65594;66153;66464	65506;66150;66345;66478	-;-;-;-	831	4	0	0
PY17X_0700041	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	68778;68952;69893	68864;69755;69907	-;-;-	906	0	0	8
PY17X_0700043	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	72293;72464;73352	72379;73243;73366	-;-;-	882	0	0	0
PY17X_0700045	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	76194;76385;77395	76280;77257;77409	-;-;-	975	2	0	0
PY17X_0700047	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	79676;79827;80677	79741;80558;80691	-;-;-	813	0	0	0
PY17X_0700049	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	83048;83225;84153	83134;84016;84167	-;-;-	894	0	0	0
PY17X_0700051	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	86512;86689;87612	86598;87504;87626	-;-;-	918	0	0	0
PY17X_0700053	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	90210;90360;91252	90275;91115;91266	-;-;-	837	0	0	0
PY17X_0700055	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	93488;93677;94554	93586;94429;94568	-;-;-	867	1	0	0
PY17X_0700057	Py17X_07_v3;Py17X_07_v3	97359;98222	98048;98290	-;-	759	0	0	0
PY17X_0700059	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	100533;100834;101148;101334;101534;101892	100663;101056;101217;101443;101755;101987	+;+;+;+;+;+	852	20	29	50
PY17X_0700061	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	103266;103422;104405	103331;104267;104419	-;-;-	927	0	0	0
PY17X_0700063	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	106783;106974;107894	106869;107756;107908	-;-;-	885	10	0	0
PY17X_0700065	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	110261;110437;111325	110347;111216;111339	-;-;-	882	30	2	21
PY17X_0700067	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	114044;114198;115183	114109;115049;115197	-;-;-	933	10	0	0
PY17X_0700069	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	118278;118433;119427	118343;119290;119441	-;-;-	939	0	0	0
PY17X_0700071	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	121807;121957;122961	121869;122823;122975	-;-;-	945	0	0	0
PY17X_0700073	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	125549;125703;126701	125614;126575;126718	-;-;-	957	0	0	0
PY17X_0700075	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	129069;129321;129555;130163	129155;129552;130054;130177	-;-;-;-	834	0	0	0
PY17X_0700077	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	132726;132914;133807	132812;133696;133818	-;-;-	882	0	0	0
PY17X_0700079	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	136687;136842;137868	136752;137729;137882	-;-;-	969	0	0	0
PY17X_0700081	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	140081;140270;141154	140179;141019;141168	-;-;-	864	0	0	0
PY17X_0700083	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	143743;143866;144031	143775;144029;144640	-;-;-	807	2	0	0
PY17X_0700085	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	147108;147332;149580	147221;149473;149597	-;-;-	2274	5	0	0
PY17X_0700089	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	152442;152708;153041;153281;153465;153852	152572;152945;153110;153384;153695;153893	+;+;+;+;+;+	816	0	0	0
PY17X_0700093	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	154386;155098;156550	155009;156432;156564	-;-;-	1974	13	4	0
PY17X_0700097	Py17X_07_v3	164665	169629	+	4965	385	334	255
PY17X_0700100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	175389;175422;175662;175995;176185;176384	175419;175518;175899;176064;176294;176512	+;+;+;+;+;+	675	48	27	37
PY17X_0700200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	177336;178201;180927	178112;180804;180941	-;-;-	3396	505	378	520
PY17X_0700300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	183824;184100;184433;184673;184870;185245	183954;184337;184502;184776;185100;185295	+;+;+;+;+;+	825	4	2	0
PY17X_0700400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	185795;186741;188252	186652;188129;188266	-;-;-	2262	0	0	0
PY17X_0700500	Py17X_07_v3;Py17X_07_v3	191291;192121	191947;192189	-;-	726	44	14	10
PY17X_0700600	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	194759;195252;195584;195825;196022;196409	195108;195489;195653;195928;196252;196432	+;+;+;+;+;+	1017	2438	2783	3448
PY17X_0700700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	198238;198537;198886;199114;199324;199754	198368;198789;198952;199223;199557;199858	+;+;+;+;+;+	900	1152	1231	1059
PY17X_0700800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	202753;203725;203770;203855;203901;204049;204338	203545;203768;203853;203899;203957;204118;204441	+;+;+;+;+;+;+	1197	1626	1788	2049
PY17X_0700900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	207356;207662;207995;208222;208418;208799	207486;207896;208064;208322;208636;208903	+;+;+;+;+;+	861	366	349	258
PY17X_0701000	Py17X_07_v3;Py17X_07_v3	213493;214282	214101;214362	-;-	690	2735	2327	2325
PY17X_0701100	Py17X_07_v3;Py17X_07_v3	215669;215931	215739;216489	+;+	630	7744	7828	7867
PY17X_0701110	Py17X_07_v3	219119	221175	+	2057	16	31	12
PY17X_0701131	Py17X_07_v3	221512	221665	+	154	0	1	1
PY17X_0701151	Py17X_07_v3	221997	225722	+	3726	64	106	100
PY17X_0701171	Py17X_07_v3	227506	228402	-	897	640	362	403
PY17X_0701200	Py17X_07_v3;Py17X_07_v3	229906;233493	233378;233550	-;-	3531	363	381	440
PY17X_0701300	Py17X_07_v3;Py17X_07_v3	236339;236763	236509;237866	+;+	1275	1852	2022	2029
PY17X_0701400	Py17X_07_v3;Py17X_07_v3	239193;239648	239458;239876	-;-	495	1243	1309	1303
PY17X_0701500	Py17X_07_v3	243086	250807	+	7722	166	138	238
PY17X_0701600	Py17X_07_v3	251459	252826	+	1368	8	6	9
PY17X_0701700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	253760;253903;254103;254376	253771;253981;254265;254409	-;-;-;-	288	708	787	835
PY17X_0701800	Py17X_07_v3	255765	256583	-	819	1665	1230	1447
PY17X_0701900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	257789;257935;258158;258379;258702;258944;259238	257830;258030;258228;258469;258794;259045;259393	-;-;-;-;-;-;-	651	640	453	631
PY17X_0702000	Py17X_07_v3;Py17X_07_v3	260550;263619	263490;265486	-;-	4809	969	1414	1083
PY17X_0702100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	268132;268286;268384;268652	268198;268306;268533;268971	+;+;+;+	558	768	620	692
PY17X_0702200	Py17X_07_v3	271465	273339	+	1875	5197	5524	5297
PY17X_0702300	Py17X_07_v3	274135	277233	-	3099	100218	115671	113720
PY17X_0702400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	279731;279892;280093;280339	279797;280005;280170;281597	+;+;+;+	1518	3048	3338	3274
PY17X_0702500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	282544;282756;283013;283370	282595;282831;283226;284056	+;+;+;+	1029	320	333	425
PY17X_0702600	Py17X_07_v3	285523	286812	+	1290	89	98	92
PY17X_0702700	Py17X_07_v3	288438	290087	+	1650	8248	9945	10918
PY17X_0702800	Py17X_07_v3	290374	294267	-	3894	976	1037	879
PY17X_0702900	Py17X_07_v3	294890	297688	+	2799	16	17	0
PY17X_0703000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	297849;298109;298778;299058	297954;298549;298906;299182	-;-;-;-	801	1448	1691	1610
PY17X_0703100	Py17X_07_v3;Py17X_07_v3	301550;301903	301722;303178	+;+	1449	21339	21419	25140
PY17X_0703200	Py17X_07_v3	304383	310784	-	6402	4455	3621	4099
PY17X_0703300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	313454;313708;314004	313702;313998;315176	+;+;+	1713	28	38	28
PY17X_0703400	Py17X_07_v3;Py17X_07_v3	315745;319344	319236;320273	+;+	4422	349	259	396
PY17X_0703500	Py17X_07_v3	320752	321714	-	963	44	9	46
PY17X_0703600	Py17X_07_v3	322960	323601	-	642	16	32	30
PY17X_0703700	Py17X_07_v3	324168	325361	-	1194	498	863	742
PY17X_0703800	Py17X_07_v3	325981	329058	-	3078	7123	6433	6973
PY17X_0703900	Py17X_07_v3	329877	333203	-	3327	241	244	218
PY17X_0704000	Py17X_07_v3	334373	337795	+	3423	499	511	462
PY17X_0704100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	338323;340799;340950	340611;340837;340958	-;-;-	2337	2862	2646	2727
PY17X_0704200	Py17X_07_v3;Py17X_07_v3	344030;344778	344156;345619	+;+	969	18334	13275	14410
PY17X_0704300	Py17X_07_v3	346558	347382	+	825	61	30	25
PY17X_0704400	Py17X_07_v3	348354	352076	-	3723	3161	3847	3957
PY17X_0704500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	354321;354462;354649;354957;355249;355520;355911;356186	354334;354517;354740;355099;355365;355771;356013;356329	+;+;+;+;+;+;+;+	921	954	939	1145
PY17X_0704600	Py17X_07_v3	356885	358009	-	1125	617	488	555
PY17X_0704700	Py17X_07_v3	360020	361342	+	1323	1555	1937	1912
PY17X_0704800	Py17X_07_v3	364232	386731	+	22500	32508	41354	45883
PY17X_0704900	Py17X_07_v3	387232	389853	-	2622	32	54	22
PY17X_0705000	Py17X_07_v3	390996	392462	-	1467	45	46	40
PY17X_0705100	Py17X_07_v3	394298	395458	-	1161	94	125	181
PY17X_0705200	Py17X_07_v3	396546	397409	+	864	234	265	371
PY17X_0705300	Py17X_07_v3	398254	398511	+	258	91	75	70
PY17X_0705400	Py17X_07_v3	399066	400994	-	1929	217	287	211
PY17X_0705500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	402090;402257;402460;402845;403140	402111;402311;402615;402931;403185	-;-;-;-;-	366	342	352	277
PY17X_0705600	Py17X_07_v3	403893	404348	+	456	46	42	54
PY17X_0705700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	404750;405048;405239;405395	404923;405114;405309;405571	-;-;-;-	489	262	329	314
PY17X_0705800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	406189;406465;406680;406915;407196;407362	406311;406563;406787;407010;407254;407434	-;-;-;-;-;-	558	3406	4238	4723
PY17X_0705900	Py17X_07_v3;Py17X_07_v3	408163;408411	408232;413089	-;-	4749	257	253	373
PY17X_0706000	Py17X_07_v3	415849	418869	+	3021	18	16	35
PY17X_0706100	Py17X_07_v3	419194	422568	-	3375	2028	1602	1911
PY17X_0706200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	423310;423597;423751;423911;424203;424472;424640;424790;425011;425276;425448;425642;425865;426279;426562;426894	423402;423640;423820;424089;424310;424560;424674;424864;425147;425342;425506;425722;426013;426451;426720;427127	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1752	267	130	144
PY17X_0706300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	428186;428367;428550;428758;429086	428200;428413;428595;428985;429511	-;-;-;-;-	762	5574	5376	5714
PY17X_0706400	Py17X_07_v3;Py17X_07_v3	430595;431433	431290;431780	-;-	1044	129	112	114
PY17X_0706500	Py17X_07_v3	432748	434421	+	1674	50	51	64
PY17X_0706600	Py17X_07_v3	435312	437546	+	2235	133	133	182
PY17X_0706700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	437985;438308;441628	438215;441376;441654	-;-;-	3327	7504	9895	9797
PY17X_0706800	Py17X_07_v3	442828	444048	-	1221	916	633	579
PY17X_0706900	Py17X_07_v3	445060	447513	+	2454	81	82	61
PY17X_0707000	Py17X_07_v3	448788	449747	-	960	1112	1037	1124
PY17X_0707100	Py17X_07_v3	451103	453049	-	1947	68	42	58
PY17X_0707200	Py17X_07_v3;Py17X_07_v3	454401;454804	454448;454956	+;+	201	1041	792	899
PY17X_0707300	Py17X_07_v3	455748	457034	+	1287	14	6	10
PY17X_0707400	Py17X_07_v3	458169	459647	+	1479	3620	3846	5193
PY17X_0707500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	460100;460443;460854;461002;461695	460200;460730;460891;461594;462180	-;-;-;-;-	1506	5687	6520	5989
PY17X_0707600	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	463070;463333;464006;464566	463231;463844;464420;467685	-;-;-;-	4209	3373	2721	3048
PY17X_0707700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	471547;471715;472357	471606;472164;472713	+;+;+	867	7560	9581	7624
PY17X_0707800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	474877;475303;475593;475947;476200	475075;475412;475757;476103;476255	+;+;+;+;+	687	1290	970	1049
PY17X_0707900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	476997;477362;477703;478277	477164;477486;477984;481403	+;+;+;+	3702	374	416	500
PY17X_0708000	Py17X_07_v3	483266	486910	+	3645	2998	4161	3548
PY17X_0708100	Py17X_07_v3	487425	488396	-	972	213	184	261
PY17X_0708200	Py17X_07_v3	490708	493401	+	2694	10	40	41
PY17X_0708300	Py17X_07_v3;Py17X_07_v3	493822;495922	495801;496221	-;-	2280	5133	3860	4377
PY17X_0708400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	498907;499087;499374;499681;499864;500028	498970;499239;499564;499746;499926;500075	+;+;+;+;+;+	585	36002	37623	33752
PY17X_0708500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	500153;500361;500549;500838;501470;501789;502464	500245;500436;500720;501311;501634;502317;502532	-;-;-;-;-;-;-	1578	46328	51523	49638
PY17X_0708600	Py17X_07_v3;Py17X_07_v3	504148;504436	504217;504617	+;+	252	5392	5950	6463
PY17X_0708700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	505018;505352;505880	505165;505755;509284	-;-;-	3957	2429	2856	2700
PY17X_0708800	Py17X_07_v3	509894	511048	+	1155	51	22	47
PY17X_0708900	Py17X_07_v3	511589	512380	+	792	8	6	22
PY17X_0709000	Py17X_07_v3;Py17X_07_v3	512888;513127	513024;514807	-;-	1818	452	397	527
PY17X_0709100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	515443;515696;515945;516115	515514;515781;516002;516222	+;+;+;+	324	239	197	301
PY17X_0709200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	516744;516956;517238	516822;517069;517284	-;-;-	240	713	762	857
PY17X_0709300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	519079;519341;519620	519189;519472;519793	-;-;-	417	7916	6840	7183
PY17X_0709400	Py17X_07_v3	521819	523588	-	1770	48	48	33
PY17X_0709500	Py17X_07_v3	524536	525234	+	699	16	41	36
PY17X_0709600	Py17X_07_v3;Py17X_07_v3	526378;527174	526656;527248	-;-	354	1282	1432	1484
PY17X_0709700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	530543;531917;532351	531778;532210;533226	+;+;+	2406	4294	3951	3448
PY17X_0709800	Py17X_07_v3	533452	534117	-	666	2075	1908	1863
PY17X_0709900	Py17X_07_v3;Py17X_07_v3	536036;536763	536577;538626	-;-	2406	1794	1790	1839
PY17X_0710000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	541837;542067;542373;542571;542796	541917;542191;542443;542673;543951	-;-;-;-;-	1536	491	538	578
PY17X_0710100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	547268;547917;549763	547820;549611;550817	+;+;+	3303	242	208	257
PY17X_0710200	Py17X_07_v3	551329	553539	+	2211	10095	10594	10694
PY17X_0710300	Py17X_07_v3;Py17X_07_v3	554106;557221	557058;557384	-;-	3117	29797	30092	29482
PY17X_0710400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	558636;559237;559799	559116;559651;560267	-;-;-	1365	1207	1320	1277
PY17X_0710500	Py17X_07_v3	561424	563574	-	2151	2229	3384	3374
PY17X_0710600	Py17X_07_v3;Py17X_07_v3	564942;565319	565122;566574	-;-	1437	745	420	333
PY17X_0710700	Py17X_07_v3	568552	570285	-	1734	4235	5541	5722
PY17X_0710800	Py17X_07_v3	573349	575070	+	1722	52	24	47
PY17X_0710900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	576375;577237;577642;577911	577083;577401;577723;578037	+;+;+;+	1083	262	241	247
PY17X_0711000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	579543;579789;579916;580168;585303	579691;579821;579991;585153;585536	+;+;+;+;+	5478	2761	2124	2742
PY17X_0711100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	586619;586827;587031;587325	586643;586912;587120;587399	+;+;+;+	276	689	578	787
PY17X_0711200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	588182;588408;588578;588760;589258;589458;589620;589835;590028;590298;590481;590708;590934;591228;592569;593637;594212	588229;588462;588670;589089;589337;589529;589665;589902;590118;590378;590615;590831;591099;592460;593469;594052;594376	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4104	14964	17050	17931
PY17X_0711300	Py17X_07_v3	595348	596985	+	1638	115	144	95
PY17X_0711400	Py17X_07_v3;Py17X_07_v3	599036;599642	599475;600197	+;+	996	1061	923	961
PY17X_0711500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	600894;601139;601417;601596;601877;602069;602417;602640;602811;602956;603131;603324;603486	600998;601193;601510;601715;601943;602290;602534;602698;602861;603009;603166;603383;603584	-;-;-;-;-;-;-;-;-;-;-;-;-	1140	149	292	174
PY17X_0711600	Py17X_07_v3	604797	606842	-	2046	35	14	20
PY17X_0711700	Py17X_07_v3	607775	610618	-	2844	643	678	687
PY17X_0711800	Py17X_07_v3	611904	613961	-	2058	151	108	93
PY17X_0711900	Py17X_07_v3;Py17X_07_v3	614975;615173	615018;616031	-;-	903	44	52	23
PY17X_0712000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	617271;617757;618504;618694;620705	617623;618379;618591;620622;621344	+;+;+;+;+	3633	1817	1426	1214
PY17X_0712100	Py17X_07_v3	622093	624141	-	2049	62167	61041	70139
PY17X_0712200	Py17X_07_v3	627028	628062	+	1035	103	56	64
PY17X_0712300	Py17X_07_v3;Py17X_07_v3	630377;633383	633253;633466	+;+	2961	40405	36464	41104
PY17X_0712400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	634880;635082;635293;635428;635646;635880;636058;636295;636455;636799;636995	634946;635126;635322;635482;635713;635958;636168;636346;636631;636840;637132	+;+;+;+;+;+;+;+;+;+;+	864	2376	2707	2623
PY17X_0712500	Py17X_07_v3;Py17X_07_v3	639077;639931	639766;639957	-;-	717	8506	8839	8522
PY17X_0712600	Py17X_07_v3;Py17X_07_v3	644076;644274	644078;644852	+;+	582	761	617	600
PY17X_0712700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	645230;645367;645754;646791	645283;645503;646503;647472	-;-;-;-	1623	929	835	825
PY17X_0712800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	648716;648979;649716;650150	648744;649567;649801;650234	-;-;-;-	789	121743	131757	137209
PY17X_0712900	Py17X_07_v3;Py17X_07_v3	653075;653364	653143;655136	-;-	1842	85	86	63
PY17X_0713000	Py17X_07_v3	657199	658329	-	1131	698	744	766
PY17X_0713100	Py17X_07_v3	662701	662997	+	297	2137	2111	2116
PY17X_0713200	Py17X_07_v3;Py17X_07_v3	664274;664429	664294;664572	-;-	165	1639	1738	1961
